fragment_smiles,frequency,heavy_atoms,dummy_atoms,logp,mw,tpsa,hbd,hba,rotbonds,fsp3,n_atoms,o_atoms,s_atoms,halogen_count,aromatic_ring_count,aliphatic_ring_count,heterocycles_total,n_heterocycles_count,o_heterocycles_count,s_heterocycles_count,label_lipophilic,label_hydrophilic,label_amphiphilic,label_high_flexibility,label_high_mw,label_high_sp3,label_has_aromatic_ring,label_has_aliphatic_ring,label_high_hbd,label_high_hba,label_high_tpsa,label_low_tpsa,label_acidic,label_basic,label_zwitterionic,label_neutral,label_nucleophilic,label_electrophilic,label_strong_ewg,label_aromatic_ring,label_multi_aromatic,label_has_heterocycle,label_multi_heterocycle,label_n_heterocycle,label_o_heterocycle,label_s_heterocycle,label_has_halogen,label_high_halogen,label_nitrogen_rich,label_oxygen_rich,label_sulfur_rich,label_bioisostere,label_has_amide,label_has_ester
[1*]C(=O)[C@@]([4*])([8*])C,12,4,3,0.297,55.056,17.07,0,1,1,0.6666666666666666,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[16*]c1c2c(nc3c([16*])cccc13)CCC2,12,13,2,1.0727,167.21099999999993,12.89,0,1,0,0.25,1,0,0,0,2,1,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
[14*]c1sc(N)cc1C,12,7,1,0.81332,112.17699999999999,26.02,1,2,0,0.2,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
[5*]N1CC2CCCC21,12,7,1,0.935,96.153,3.24,0,1,0,1.0,1,0,0,0,0,2,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
[16*]c1cnccc1C=C,12,8,1,0.8992000000000001,104.13199999999999,12.89,0,1,1,0.0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
[14*]c1nn2ccc(C)cc2c1Cl,12,11,1,1.4707199999999998,165.60299999999998,17.3,0,2,0,0.125,2,0,0,1,2,0,2,2,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0
[3*]ONC(=O)C(C)(C)C,12,8,1,0.5446,116.13999999999999,38.33,1,2,1,0.8,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
[15*]C1C=CC(F)=CC1,12,7,1,2.1375,97.112,0.0,0,0,0,0.3333333333333333,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
[15*]C1CC([15*])(F)C1,12,5,2,1.3331,72.08200000000001,0.0,0,0,0,1.0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
[16*]c1ccc2nc(Cl)oc2c1,12,10,1,1.6557999999999997,152.56,26.03,0,2,0,0.0,1,1,0,1,2,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0
[15*]C1CNC(=O)C12CCCC2,12,10,1,1.0144,138.19,29.1,1,1,0,0.875,1,1,0,0,0,2,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
